contrast_i,contrast_j,covariance,correlation
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h7_moirai2_vs_lightgbm_cov,1.7449020489971307e-07,0.0014001735554565768
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h7_timesfm25_vs_lightgbm_cov,1.142410908245068e-06,0.00975817070416101
Favorita_h14_moirai2_vs_lightgbm_cov,Rohlik_h7_tirex_vs_lightgbm_cov,1.1610953201498562e-06,0.0097579395261329
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h14_chronos2_vs_lightgbm_cov,9.937782744769644e-06,0.047399282194505225
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h14_chronos_bolt_tiny_vs_lightgbm_cov,0.00036996954003529344,0.7953516686828501
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h14_moirai2_vs_lightgbm_cov,0.00010903103414530072,0.6208233644165781
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h14_timesfm25_vs_lightgbm_cov,0.0003477357759385983,0.9999999999999999
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h14_tirex_vs_lightgbm_cov,5.2398878574645e-05,0.26579225770824877
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h28_chronos2_vs_lightgbm_direct,-0.0002645681595721518,-0.46957346908105196
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h28_chronos_bolt_tiny_vs_lightgbm_direct,-1.8978273428525998e-06,-0.0033559517962462797
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h28_moirai2_vs_lightgbm_direct,-0.00013891612981986197,-0.30115622694718003
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h28_timesfm25_vs_lightgbm_direct,1.6704042920730055e-05,0.038435263912508955
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h28_tirex_vs_lightgbm_direct,-0.00016724411176341326,-0.32976815959330313
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h7_chronos2_vs_lightgbm_cov,-3.3228683089790726e-05,-0.1688490618390108
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h7_chronos_bolt_tiny_vs_lightgbm_cov,0.0003576906894640585,0.7455479815814864
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h7_moirai2_vs_lightgbm_cov,3.1734801634090425e-05,0.19786183621058986
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h7_timesfm25_vs_lightgbm_cov,0.0003032814843413112,0.976989687833019
Favorita_h14_timesfm25_vs_lightgbm_cov,Favorita_h7_tirex_vs_lightgbm_cov,-3.0495277467838658e-05,-0.14086973213762605
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h14_chronos2_vs_lightgbm_cov,-1.8223456444226081e-06,-0.011613323542379027
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h14_chronos_bolt_tiny_vs_lightgbm_cov,-1.4349921024319967e-06,-0.007167188518254109
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h14_moirai2_vs_lightgbm_cov,2.4691067824194295e-07,0.0013168580187531238
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h14_timesfm25_vs_lightgbm_cov,-1.1412966422013527e-06,-0.006396971968108686
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h14_tirex_vs_lightgbm_cov,-1.629171006472832e-06,-0.009947561507519723
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h28_chronos2_vs_lightgbm_direct,-1.0581319755110574e-05,-0.04157347238670598
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h28_chronos_bolt_tiny_vs_lightgbm_direct,-1.1988854676980418e-05,-0.041068283614716594
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h28_moirai2_vs_lightgbm_direct,-7.077350715439832e-06,-0.03190699353226359
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h28_timesfm25_vs_lightgbm_direct,-1.0007350008054823e-05,-0.039793648374621245
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h28_tirex_vs_lightgbm_direct,-1.178130674840543e-05,-0.03780097497924114
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h7_chronos2_vs_lightgbm_cov,-1.4678735026883684e-06,-0.010068012031061868
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h7_chronos_bolt_tiny_vs_lightgbm_cov,-3.4136531167842367e-06,-0.020415222590842077
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h7_moirai2_vs_lightgbm_cov,-3.50141359416967e-06,-0.022252277512251062
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h7_timesfm25_vs_lightgbm_cov,-2.668867713109457e-06,-0.01751119181351327
Favorita_h14_timesfm25_vs_lightgbm_cov,M5_h7_tirex_vs_lightgbm_cov,-3.1594219373173977e-06,-0.02076634484838733
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h14_chronos2_vs_lightgbm_cov,7.171757750587723e-06,0.03768979599169432
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h14_chronos_bolt_tiny_vs_lightgbm_cov,9.490940004311342e-06,0.054091363761169735
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h14_moirai2_vs_lightgbm_cov,2.9747150986362624e-06,0.013079254091739522
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h14_timesfm25_vs_lightgbm_cov,2.9699045955074875e-06,0.012371296321122332
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h14_tirex_vs_lightgbm_cov,1.0012084056242583e-05,0.03830105913577361
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h28_chronos2_vs_lightgbm_cov,5.618709482842121e-06,0.0234582456302216
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h28_chronos_bolt_tiny_vs_lightgbm_cov,6.656629280857429e-06,0.028053744020611764
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h28_moirai2_vs_lightgbm_cov,3.397288344828328e-06,0.012430947836669084
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h28_timesfm25_vs_lightgbm_cov,2.2052639713958936e-06,0.007812296533843361
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h28_tirex_vs_lightgbm_cov,7.6693079306255e-06,0.025824226941934838
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h7_chronos2_vs_lightgbm_cov,6.5326685437173e-06,0.033046241423718946
Favorita_h14_timesfm25_vs_lightgbm_cov,Rohlik_h7_chronos_bolt_tiny_vs_lightgbm_cov,9.161268386826363e-06,0.047644172643661664
