pair_id,paper_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,delta,delta_rel,vi,source,n_series_num,baseline_n_series
B02_fev_favorita_transactions_1D__TimesFM-2.5__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.0842,1.3841999999999999,ML_TREE,-0.2999999999999998,-0.2167316861725183,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__TimesFM-2.5__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,0.0655,0.08175,ML_TREE,-0.01625,-0.19877675840978593,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Toto-1.0__SQL,B02_fev_favorita_transactions_1D,Favorita,long,SQL,Toto-1.0,8,TRUE,TRUE,1.1139,1.3841999999999999,ML_TREE,-0.2703,-0.1952752492414391,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Toto-1.0__MASE,B02_fev_favorita_transactions_1D,Favorita,long,MASE,Toto-1.0,8,TRUE,TRUE,1.4307,1.3841999999999999,ML_TREE,0.04650000000000021,0.03359341135674051,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1D__Toto-1.0__WAPE,B02_fev_favorita_transactions_1D,Favorita,long,WAPE,Toto-1.0,8,TRUE,TRUE,0.0947,0.08175,ML_TREE,0.012950000000000003,0.15840978593272176,0.0392156862745098,LIT,51,51
B02_fev_favorita_transactions_1M__Chronos-2__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,Chronos-2,8.079181246047625,TRUE,TRUE,0.9426,1.54855,ML_TREE,-0.6059500000000001,-0.39130154015046337,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-2__MASE,B02_fev_favorita_transactions_1M,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,1.2531,1.54855,ML_TREE,-0.29545,-0.1907913854896516,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-2__WAPE,B02_fev_favorita_transactions_1M,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.0719,0.1021,ML_TREE,-0.03019999999999999,-0.29578844270323207,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-Bolt-Base__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.3585,1.54855,ML_TREE,-0.19005000000000005,-0.12272771302185918,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-Bolt-Base__MASE,B02_fev_favorita_transactions_1M,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,1.6365,1.54855,ML_TREE,0.08794999999999997,0.056795066352394154,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Chronos-Bolt-Base__WAPE,B02_fev_favorita_transactions_1M,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.0941,0.1021,ML_TREE,-0.007999999999999993,-0.07835455435847202,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Moirai-2.0-Small__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.39,1.54855,ML_TREE,-0.1585500000000002,-0.10238610312873345,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Moirai-2.0-Small__MASE,B02_fev_favorita_transactions_1M,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,1.611,1.54855,ML_TREE,0.062449999999999894,0.040328048819863675,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__Moirai-2.0-Small__WAPE,B02_fev_favorita_transactions_1M,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.0863,0.1021,ML_TREE,-0.015799999999999995,-0.15475024485798233,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__TabPFN-TS__SQL,B02_fev_favorita_transactions_1M,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.2438,1.54855,ML_TREE,-0.3047500000000001,-0.1967970036485745,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__TabPFN-TS__MASE,B02_fev_favorita_transactions_1M,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,1.4262,1.54855,ML_TREE,-0.12235000000000018,-0.07900939588647456,0.0196078431372549,LIT,102,102
B02_fev_favorita_transactions_1M__TabPFN-TS__WAPE,B02_fev_favorita_transactions_1M,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.0822,0.1021,ML_TREE,-0.0199,-0.19490695396669933,0.0196078431372549,LIT,102,102
