pair_id,paper_id,study_id,suite_id,task_id,cluster_id,dataset_norm,horizon_bucket,metric_name,model_name,model_scale,has_covariates,zero_shot,metric_num,baseline_metric,baseline_family,log_ratio,delta,delta_rel,vi,source,is_source_b,paired_inference_ok,quality_flag,n_series_num,baseline_n_series
b02_fev_favorita_stores_1w__Chronos-2__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,Chronos-2,8.079181246047625,TRUE,TRUE,2.2987,2.4207,ML_TREE,-0.051713008792199144,-0.12199999999999989,-0.05039864502003548,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Chronos-2__WAPE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,WAPE,Chronos-2,8.079181246047625,TRUE,TRUE,0.1289,0.1307,ML_TREE,-0.013867710685034769,-0.0018000000000000238,-0.013771996939556417,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Chronos-Bolt-Base__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.1011,2.4207,ML_TREE,-0.1415957374275671,-0.3195999999999999,-0.13202792580658482,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Chronos-Bolt-Base__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,2.4749,2.4207,ML_TREE,0.022143236623550826,0.054199999999999804,0.02239021770562226,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Chronos-Bolt-Base__WAPE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,WAPE,Chronos-Bolt-Base,7.662757831681574,TRUE,TRUE,0.158,0.1307,ML_TREE,0.1896904123967905,0.02729999999999999,0.20887528691660281,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Moirai-2.0-Small__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.197,2.4207,ML_TREE,-0.096963961137960325,-0.2237,-0.09241128599165531,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Moirai-2.0-Small__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,2.577,2.4207,ML_TREE,0.06256917712979437,0.15629999999999988,0.06456810013632415,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__Moirai-2.0-Small__WAPE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,WAPE,Moirai-2.0-Small,7.041392685158225,TRUE,TRUE,0.1555,0.1307,ML_TREE,0.1737411109891124,0.02479999999999999,0.18974751338944137,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TabPFN-TS__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.1227,2.4207,ML_TREE,-0.13136789127217238,-0.29800000000000004,-0.12310488701615237,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TabPFN-TS__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,TabPFN-TS,7.079181246047625,TRUE,TRUE,2.5268,2.4207,ML_TREE,0.0428969255019748,0.10610000000000008,0.04383029702152273,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TabPFN-TS__WAPE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,WAPE,TabPFN-TS,7.079181246047625,TRUE,TRUE,0.126,0.1307,ML_TREE,-0.036622713678698314,-0.00470000000000001,-0.035960214231063575,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TiRex__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,TiRex,7.544068044350276,TRUE,TRUE,2.0462,2.4207,ML_TREE,-0.16807234007773109,-0.3745000000000003,-0.15470731606560098,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TiRex__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,TiRex,7.544068044350276,TRUE,TRUE,2.4235,2.4207,ML_TREE,0.0011560217628601955,0.0028000000000001357,0.0011566902135746418,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TiRex__WAPE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,WAPE,TiRex,7.544068044350276,TRUE,TRUE,0.1346,0.1307,ML_TREE,0.029402796580451095,0.003899999999999987,0.02983932670237174,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TimesFM-2.5__SQL,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,SQL,TimesFM-2.5,8.301029995663981,TRUE,TRUE,1.9684,2.4207,ML_TREE,-0.20683572453074753,-0.45230000000000015,-0.1868467798570662,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
b02_fev_favorita_stores_1w__TimesFM-2.5__MASE,B02_fev_favorita_stores_1W,shchur_2025_fev_bench,fev-bench,b02_fev_favorita_stores_1w,b02_fev_favorita_stores_1w,Favorita,medium,MASE,TimesFM-2.5,8.301029995663981,TRUE,TRUE,2.2901,2.4207,ML_TREE,-0.05546126980543935,-0.13060000000000027,-0.05395133639030043,0.001266624445851805,LIT,FALSE,TRUE,Source A benchmark extraction,1579,1579
